que	label
Hi	greeting
How are you	greeting
Is anyone there?	greeting
Hello	greeting
Good day	greeting
Whats up	greeting
cya	goodbye
See you later	goodbye
I am Leaving	goodbye
Have a Good day	goodbye
Bye	goodbye
what is your name	name
what should I call you	name
what's your name?	name
when are you guys open	hours
what are your hours	hours
hours of operation?	hours
at what time are you available	hours
Time of operation	hours
Office timing	hours
Working time	hours
What services does your firm provide?	services
What do you provide?	services
what are your services?	services
what do you do?	services
How may I contact you	contact
Your phone number	contact
your mobile number	contact
your email id	contact
How can i meet you	contact
Where can i meet you	address
Your address?	address
What's the location of your office	address
Where to meet you?	address
your loaction	address
Hey	greeting
goodbye	goodbye
hy	greeting
